CharacterName,HumanAbilities,Strength,Description,image_url
Iron Man,300,850,Genius intellect,https://wallpapers.com/images/high/ironman-hd-cxlozovk6v0e20jb.webp
Captain America,500,750,Peak human strength,https://wallpapers.com/images/high/captain-america-worthy-in-avengers-endgame-tasl80w6byb4p6xx.webp
Thor,500,900,God of Thunder. Superhuman strength,https://wallpapers.com/images/high/marvel-hero-thor-stormbreaker-digital-sketch-c12xnff804bfmp0q.webp
Hulk,200,920,Gamma radiation grants immense superhuman strength,https://wallpapers.com/images/hd/standing-hulk-on-black-background-xtob1ybvh4y5lman.webp
Spider-Man,400,800,Superhuman strength,https://wallpapers.com/images/hd/spiderman-metal-suit-painting-ccnif799yrhq1avn.webp
Black Widow,500,780,Master martial artist,https://wallpapers.com/images/high/black-widow-1920-x-1080-picture-wxcfc6cnnbj2fgmi.webp
Doctor Strange,300,950,Master of the mystic arts. Possesses powerful magic for spells,https://wallpapers.com/images/high/dr-strange-glowing-green-hands-99195uel3xv3gw7e.webp
Black Panther,500,830,Vibranium suit grants superhuman strength,https://wallpapers.com/images/high/black-panther-hero-y3ailoobw3obbsgk.webp
Captain Marvel,500,920,Can fly,https://wallpapers.com/images/high/captivating-captain-marvel-iphone-digital-art-04goy5ofeezw3x12.webp
Deadpool,300,800,Regenerative healing factor,https://wallpapers.com/images/high/marvel-superhero-deadpool-movie-ryan-reynolds-2935vdlklic3swlh.webp
Scarlet Witch,300,930,Powerful telekinetic and telepathic abilities allowing for mind control,https://wallpapers.com/images/high/scarlet-witch-8k-kp7suxcf4pu87gxo.webp
Vision,300,880,Superhuman strength,https://wallpapers.com/images/high/paul-bettany-vision-marvel-cinematic-universe-vmdgfw3ulj9lt5u2.webp
Falcon,400,780,Master strategist and pilot. Advanced EXO-7 Falcon suit grants flight,https://wallpapers.com/images/high/falcon-marvel-n7ivz496b5e0wwoo.webp
Winter Soldier,400,800,Peak human strength,https://wallpapers.com/images/high/winter-soldier-digital-cover-xx5dzbkcehgp7g9g.webp
Ant-Man,400,760,Pym Particles allow shrinking to insect size with increased strength,https://wallpapers.com/images/high/ant-man-as-avengers-15jeamc21qynar6g.webp
Wasp,400,770,Similar to Ant-Man,https://wallpapers.com/images/high/ant-man-s-sidekick-pdx6kss9tktltzwt.webp
Hawkeye,400,760,Expert marksman and archer with a variety of trick arrows.,https://wallpapers.com/images/high/hawkeye-realistic-art-n1g2eu818grpogxg.webp
Loki,300,880,Asgardian god of mischief. Master shapeshifter and illusionist with magic for teleportation,https://wallpapers.com/images/hd/loki-in-the-battlefield-00213apx97jb2xpf.webp
Gamora,400,800,Master assassin with peak human strength,https://wallpapers.com/images/high/zoe-saldana-gamora-costume-srmy55trfon3begq.webp
Drax the Destroyer,400,840,Enhanced superhuman strength,https://wallpapers.com/images/high/drax-1125-x-2436-wallpaper-ahidk47wzizi9kjv.webp
Rocket Raccoon,200,790,Genius-level intellect for weapons and technology creation. Skilled pilot and marksman.,https://wallpapers.com/images/high/rocket-artwork-marvel-iphone-xr-hzpma7wbc2sjm35n.webp
Groot,200,810,Superhuman strength,https://wallpapers.com/images/high/smiling-groot-figurine-k6nq59y5nn4cxme4.webp
Star-Lord,400,780,Master strategist,https://wallpapers.com/wallpapers/star-lord-city-sunset-u41oyw3ccj2ke875.html
Blade,400,850,Daywalker with superhuman strength,https://wallpapers.com/images/high/blade-runner-2049-officer-k-retro-art-go0z7j9lis8rqup3.webp
Moon Knight,400,820,Superhuman strength,https://wallpapers.com/images/high/crescent-darts-weapon-moon-knight-phone-p8ddx8y6w6x8qmta.webp
Daredevil,500,770,Peak human strength,https://wallpapers.com/images/high/echoing-daredevil-abstract-art-ra12sfg7bojvvon1.webp
Jessica Jones,500,790,Superhuman strength,https://wallpapers.com/images/high/marvel-jessica-jones-on-bridge-qg3sibo1esmvjdg2.webp
Luke Cage,500,830,Unbreakable skin and superhuman strength. Master combatant.,https://wallpapers.com/images/high/superhero-shot-luke-cage-cvwz676eueki78r2.webp
Iron Fist,500,820,Martial arts master with the ability to channel his chi into a powerful glowing fist.,https://wallpapers.com/images/high/iron-fist-glowing-dragon-dpudzybp1rm48azq.webp
Punisher,500,780,Master tactician,https://wallpapers.com/images/high/the-punisher-movie-frank-castle-ks3nba0qk79b2gac.webp
Elektra,500,790,Peak human strength,https://wallpapers.com/images/high/elodie-yung-zug4sowv5rvbmvt4.webp
Ghost Rider,500,880,Possessed by a Spirit of Vengeance,https://wallpapers.com/images/high/punky-ghost-rider-73wfgujld1sco1vo.webp
Colossus,300,850,Can transform into organic steel,https://wallpapers.com/images/high/deadpool-and-colossus-1087-x-727-wallpaper-qnn43ie2wmz3ulh9.webp
Cyclops,400,800,Can project powerful optic blasts from his eyes. Skilled leader of the X-Men.,https://wallpapers.com/images/high/dominique-the-cyclops-1200-x-1600-wallpaper-snx7cvvl7q070stx.webp
Storm,400,860,Controls weather patterns,https://upload.wikimedia.org/wikipedia/en/3/34/Storm_%28Ororo_Munroe%29.png
Jean Grey,300,930,Powerful telepath and telekinetic mutant with vast psionic abilities.,https://wallpapers.com/images/high/marvel-comics-jean-grey-znez5d1qt6l2sia1.webp
Professor X,500,940,Most powerful telepath on Earth,https://static.wikia.nocookie.net/marvelcinematicuniverse/images/a/a9/Professor_X_Infobox.jpg/revision/latest?cb=20220623022703
Magneto,500,890,Master of magnetism,https://wallpapers.com/images/high/magneto-scary-lightning-1t316atms9nngjlx.webp
Cable,500,880,Telekinetic and telepathic mutant with cybernetic enhancements granting superhuman strength and various weaponry.,https://wallpapers.com/images/high/deadpool-and-cable-1400-x-700-wallpaper-0br21jmka4njpkhe.webp
